"y1","y2","rnaseq_profile_id","sampling_region","sources"
-27.8834318656469,-42.0100679678815,487201685,"Mouse VISp - L4, L5, L6","VIS"
-25.7979319981086,-40.2899464819434,487201687,"Mouse VISp - L4, L5, L6","VIS"
-29.4867544036413,-8.19866839190541,487201689,"Mouse VISp - L4, L5, L6","VIS"
-27.5818998530312,-41.6025377714091,487201691,"Mouse VISp - L4, L5, L6","VIS"
-27.1842087284928,-41.3806224935051,487201693,"Mouse VISp - L4, L5, L6","VIS"
-27.7913197359903,-41.651285906365,487201695,"Mouse VISp - L4, L5, L6","VIS"
-26.3859276905654,-40.678332290339,487201697,"Mouse VISp - L4, L5, L6","VIS"
-28.9774078493444,-5.71519331481426,487201699,"Mouse VISp - L4, L5, L6","VIS"
-27.2289143404916,-41.7103112921125,487201701,"Mouse VISp - L4, L5, L6","VIS"
-27.3746029440418,-41.5776301287973,487201703,"Mouse VISp - L4, L5, L6","VIS"
-39.272571158733,-3.33660683814871,487201705,"Mouse VISp - L4, L5, L6","VIS"
-27.6482821220454,-41.6471703995637,487201707,"Mouse VISp - L4, L5, L6","VIS"
-26.0887611862432,-40.7207111556403,487201709,"Mouse VISp - L4, L5, L6","VIS"
-32.6530880077805,-36.3948417418745,487201711,"Mouse VISp - L4, L5, L6","VIS"
-26.9731399459094,-41.5773169330802,487201713,"Mouse VISp - L4, L5, L6","VIS"
-28.4597714890386,-7.71654337951412,487201715,"Mouse VISp - L4, L5, L6","VIS"
-39.8538457427882,-3.01611985218495,487201717,"Mouse VISp - L4, L5, L6","VIS"
-28.0041682739888,-8.31856421172034,487201719,"Mouse VISp - L4, L5, L6","VIS"
-27.0506985726956,-41.4830456718728,487201721,"Mouse VISp - L4, L5, L6","VIS"
-26.0737562911296,-40.666758451223,487201723,"Mouse VISp - L4, L5, L6","VIS"
-27.5681591815011,-2.10799201420794,487201725,"Mouse VISp - L4, L5, L6","VIS"
-29.1231200914312,-7.93034380676155,487201727,"Mouse VISp - L4, L5, L6","VIS"
-28.0179162691403,-0.965168364777624,487201729,"Mouse VISp - L4, L5, L6","VIS"
-25.1614534047278,-41.0311324208914,487201731,"Mouse VISp - L4, L5, L6","VIS"
-39.3953642547542,-3.19131488239578,487201733,"Mouse VISp - L4, L5, L6","VIS"
-25.5356447947507,-41.1101799530632,487201735,"Mouse VISp - L4, L5, L6","VIS"
-26.8387983913789,-41.7088731753379,487201739,"Mouse VISp - L4, L5, L6","VIS"
-28.7338511031319,-6.88340550707641,487201741,"Mouse VISp - L4, L5, L6","VIS"
-32.6239699737883,-36.3916911863399,487201743,"Mouse VISp - L4, L5, L6","VIS"
-27.7157197635145,-41.7986616768979,487201745,"Mouse VISp - L4, L5, L6","VIS"
-26.1946017360993,-41.0546383468876,487201747,"Mouse VISp - L4, L5, L6","VIS"
-28.8294249010485,-7.8552649684206,487201749,"Mouse VISp - L4, L5, L6","VIS"
-28.3356323987329,-9.2976227951897,487201751,"Mouse VISp - L4, L5, L6","VIS"
-26.4094058689031,-42.0223852317617,487201753,"Mouse VISp - L4, L5, L6","VIS"
-29.1621880864244,-6.85608555867983,487201755,"Mouse VISp - L4, L5, L6","VIS"
-25.6779003565307,-40.4557553498165,487201757,"Mouse VISp - L4, L5, L6","VIS"
-39.3057490613938,-3.27817509309398,487201759,"Mouse VISp - L4, L5, L6","VIS"
-27.3607487016224,-41.7051479901998,487201761,"Mouse VISp - L4, L5, L6","VIS"
-28.7842871090818,-8.32116204299795,487201763,"Mouse VISp - L4, L5, L6","VIS"
-27.0966000642077,-41.5986834952546,487201765,"Mouse VISp - L4, L5, L6","VIS"
-27.2587629512434,-41.5370844142385,487201767,"Mouse VISp - L4, L5, L6","VIS"
-28.4577322836749,-8.27718006592845,487201769,"Mouse VISp - L4, L5, L6","VIS"
-26.5389032364608,-41.6198606957471,487201771,"Mouse VISp - L4, L5, L6","VIS"
-26.8837489357811,-41.464114261551,487201773,"Mouse VISp - L4, L5, L6","VIS"
-36.4062519464636,-3.23432166367432,487201775,"Mouse VISp - L4, L5, L6","VIS"
