"rnaseq_profile_id","sampling_region","sources"
487201829,"Mouse VISp - L4, L5, L6","VIS"
487201831,"Mouse VISp - L4, L5, L6","VIS"
487201833,"Mouse VISp - L4, L5, L6","VIS"
487201835,"Mouse VISp - L4, L5, L6","VIS"
487201837,"Mouse VISp - L4, L5, L6","VIS"
487201839,"Mouse VISp - L4, L5, L6","VIS"
487201841,"Mouse VISp - L4, L5, L6","VIS"
487201843,"Mouse VISp - L4, L5, L6","VIS"
487202033,"Mouse VISp - L4, L5, L6","VIS"
487202035,"Mouse VISp - L4, L5, L6","VIS"
487202037,"Mouse VISp - L4, L5, L6","VIS"
487202039,"Mouse VISp - L4, L5, L6","VIS"
487202041,"Mouse VISp - L4, L5, L6","VIS"
487202043,"Mouse VISp - L4, L5, L6","VIS"
487202045,"Mouse VISp - L4, L5, L6","VIS"
487202047,"Mouse VISp - L4, L5, L6","VIS"
487202049,"Mouse VISp - L4, L5, L6","VIS"
487202055,"Mouse VISp - L4, L5, L6","VIS"
487202057,"Mouse VISp - L4, L5, L6","VIS"
487202059,"Mouse VISp - L4, L5, L6","VIS"
487202061,"Mouse VISp - L4, L5, L6","VIS"
487202063,"Mouse VISp - L4, L5, L6","VIS"
487202065,"Mouse VISp - L4, L5, L6","VIS"
487202067,"Mouse VISp - L4, L5, L6","VIS"
487202069,"Mouse VISp - L4, L5, L6","VIS"
487202071,"Mouse VISp - L4, L5, L6","VIS"
487202077,"Mouse VISp - L4, L5, L6","VIS"
487202079,"Mouse VISp - L4, L5, L6","VIS"
487202081,"Mouse VISp - L4, L5, L6","VIS"
487202083,"Mouse VISp - L4, L5, L6","VIS"
487202085,"Mouse VISp - L4, L5, L6","VIS"
487202087,"Mouse VISp - L4, L5, L6","VIS"
487202089,"Mouse VISp - L4, L5, L6","VIS"
487202091,"Mouse VISp - L4, L5, L6","VIS"
487202093,"Mouse VISp - L4, L5, L6","VIS"
487202099,"Mouse VISp - L4, L5, L6","VIS"
487202101,"Mouse VISp - L4, L5, L6","VIS"
487202103,"Mouse VISp - L4, L5, L6","VIS"
487202105,"Mouse VISp - L4, L5, L6","VIS"
487202107,"Mouse VISp - L4, L5, L6","VIS"
487202109,"Mouse VISp - L4, L5, L6","VIS"
487202111,"Mouse VISp - L4, L5, L6","VIS"
487202113,"Mouse VISp - L4, L5, L6","VIS"
487202115,"Mouse VISp - L4, L5, L6","VIS"
487202123,"Mouse VISp - L4, L5, L6","VIS"
487202125,"Mouse VISp - L4, L5, L6","VIS"
487202127,"Mouse VISp - L4, L5, L6","VIS"
487202129,"Mouse VISp - L4, L5, L6","VIS"
487202131,"Mouse VISp - L4, L5, L6","VIS"
487202133,"Mouse VISp - L4, L5, L6","VIS"
487202135,"Mouse VISp - L4, L5, L6","VIS"
487202137,"Mouse VISp - L4, L5, L6","VIS"
487202139,"Mouse VISp - L4, L5, L6","VIS"
487202147,"Mouse VISp - L4, L5, L6","VIS"
487202149,"Mouse VISp - L4, L5, L6","VIS"
487202151,"Mouse VISp - L4, L5, L6","VIS"
487202153,"Mouse VISp - L4, L5, L6","VIS"
487202155,"Mouse VISp - L4, L5, L6","VIS"
487202157,"Mouse VISp - L4, L5, L6","VIS"
487202159,"Mouse VISp - L4, L5, L6","VIS"
487202161,"Mouse VISp - L4, L5, L6","VIS"
487202163,"Mouse VISp - L4, L5, L6","VIS"
487202171,"Mouse VISp - L4, L5, L6","VIS"
487202173,"Mouse VISp - L4, L5, L6","VIS"
487202175,"Mouse VISp - L4, L5, L6","VIS"
487202177,"Mouse VISp - L4, L5, L6","VIS"
487202179,"Mouse VISp - L4, L5, L6","VIS"
487202181,"Mouse VISp - L4, L5, L6","VIS"
487202183,"Mouse VISp - L4, L5, L6","VIS"
487202185,"Mouse VISp - L4, L5, L6","VIS"
487202187,"Mouse VISp - L4, L5, L6","VIS"
487202195,"Mouse VISp - L4, L5, L6","VIS"
487202197,"Mouse VISp - L4, L5, L6","VIS"
487202199,"Mouse VISp - L4, L5, L6","VIS"
487202201,"Mouse VISp - L4, L5, L6","VIS"
487202203,"Mouse VISp - L4, L5, L6","VIS"
487202205,"Mouse VISp - L4, L5, L6","VIS"
487202207,"Mouse VISp - L4, L5, L6","VIS"
487202209,"Mouse VISp - L4, L5, L6","VIS"
487202211,"Mouse VISp - L4, L5, L6","VIS"
502831637,"Mouse VISp - L1","VIS"
