"y1","y2","rnaseq_profile_id","sampling_region","sources","kmean_1","kmean_2","kmean_3","kmean_4","kmean_5","kmean_6","kmean_7","kmean_8","kmean_9","kmean_10","kmean_11","kmean_12","kmean_13","kmean_14","kmean_15","kmean_16","kmean_17","kmean_18","kmean_19","kmean_20","louvain_k30"
-0.127758852446952,-32.2053804900117,487201757,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.3361825430532,-2.94923416320719,487201759,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.452067428738134,-31.9023824863473,487201761,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,5,12,11,5,1,2,15,16,5,1
-13.0445267804852,-4.91734888875569,487201763,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.499377612559232,-32.0395121634459,487201765,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.8177123811276,-31.646788084984,487201767,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.5313606127052,-4.54087214340905,487201769,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-0.582373934924727,-31.9774883256708,487201771,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.354783986249396,-31.4274004306403,487201773,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-18.1278932705063,-4.80456914530483,487201775,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-13.44471238082,-4.28740374009682,487201777,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-0.663969146219021,-31.4455656405481,487201779,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,1,2,15,16,5,1
0.466472116592773,-31.3048707347473,487201797,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.332198782753795,-31.4510665185654,487201799,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.96954365710223,-31.4824102776243,487201801,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,11,16,15,16,5,1
-14.6195042591664,-10.3664867131087,487201803,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,4,7,6,19
-13.0437206307779,-7.28954552311941,487201805,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,2,8,6,7,9,11,2,10,3,2,17,15,16,8,19
-0.638087878506392,-30.5490751850528,487201807,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,1,2,15,16,5,1
-0.374660092577709,-31.3749174453451,487201809,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.0949538672261223,-30.8350399670127,487201811,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
2.11895944507782,-30.6314490710886,487201813,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,5,1
-14.5824741595776,-9.42065445827025,487201815,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,8,6,7,9,11,2,10,3,2,17,15,16,8,19
-14.8081592380051,-8.41202828223319,487201817,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-0.502691432105117,-31.9605898748406,487201819,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.427796760316827,-31.919835599087,487201821,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-15.037413131067,-8.87518414498209,487201823,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-14.0182262476081,-10.7114994408137,487201825,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,2,10,3,11,16,15,16,6,19
-13.6980553391794,-4.91972683440314,487201827,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-13.7312147910755,-5.39390706658186,487201829,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,13,2,4,8,15,16,8,19
-14.4235787286966,-8.24273976175076,487201831,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,5,3,7,9,11,2,13,2,11,8,15,16,8,19
-13.5913734610102,-5.22479996486934,487201833,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-14.6095955860513,-5.34838620468203,487201835,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-0.806552973472231,-31.508542728911,487201837,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,1,2,15,16,5,1
-14.3733553445946,-6.72631013203566,487201839,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-0.147858081498435,-31.3804947039862,487201841,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.272344799293579,-31.7012928131628,487201843,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.418744795823167,-32.275455974752,487202033,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.3898340448574,-10.6446819918061,487202035,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,6,19
-0.315901562800524,-31.8645493447396,487202037,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-9.59805363455157,-21.9155964908751,487202039,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,10,3,2,17,17,6,7,8
-13.455618962524,-9.43443582848391,487202041,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-14.9364143866673,-8.65266345984442,487202043,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-16.8294750159721,-8.61250681723127,487202045,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,4,7,6,19
